time,data
2017-05-25 15:14:40,5.0199
2017-05-25 15:14:41,5.0199
2017-05-25 15:14:42,5.02
2017-05-25 15:14:46,5.01995
2017-05-25 15:14:47,5.02
2017-05-25 15:14:48,5.0204
2017-05-25 15:14:49,5.0205
2017-05-25 15:14:51,5.02045
2017-05-25 15:14:52,5.02045
2017-05-25 15:14:53,5.02035
2017-05-25 15:14:54,5.0201
2017-05-25 15:14:57,5.02015
2017-05-25 15:14:58,5.0202
2017-05-25 15:14:59,5.02005
2017-05-25 15:15:00,5.02015
2017-05-25 15:16:04,5.02015
2017-05-25 15:16:04,5.019
2017-05-25 15:16:04,5.019
2017-05-25 15:16:04,5.019
2017-05-25 15:16:07,5.01905
2017-05-25 15:16:08,5.019
2017-05-25 15:16:09,5.0191
2017-05-25 15:16:10,5.01905
2017-05-25 15:16:12,5.01915
2017-05-25 15:16:13,5.0194
2017-05-25 15:16:15,5.01935
2017-05-25 15:16:16,5.0191
2017-05-25 15:16:17,5.01915
2017-05-25 15:16:18,5.0191
2017-05-25 15:16:20,5.01895
2017-05-25 15:16:21,5.01895
2017-05-25 15:16:22,5.0189
2017-05-25 15:16:23,5.01885
2017-05-25 15:16:24,5.0188
2017-05-25 15:16:25,5.01885
2017-05-25 15:16:26,5.0188
2017-05-25 15:16:27,5.01885
2017-05-25 15:16:29,5.0188
2017-05-25 15:16:30,5.01875
2017-05-25 15:16:32,5.0188
2017-05-25 15:16:33,5.0191
2017-05-25 15:16:34,5.01905
2017-05-25 15:16:35,5.0191
2017-05-25 15:16:36,5.01905
2017-05-25 15:16:37,5.0191
2017-05-25 15:16:38,5.01905
2017-05-25 15:16:39,5.0192
2017-05-25 15:16:40,5.01925
2017-05-25 15:16:41,5.0195
2017-05-25 15:16:42,5.01945
2017-05-25 15:16:43,5.01945
2017-05-25 15:16:44,5.0194
2017-05-25 15:16:45,5.01915
2017-05-25 15:16:46,5.019
2017-05-25 15:16:47,5.01885
2017-05-25 15:16:48,5.0187
2017-05-25 15:16:50,5.01895
2017-05-25 15:16:51,5.0188
2017-05-25 15:16:52,5.01885
2017-05-25 15:16:53,5.01885
2017-05-25 15:16:54,5.0187
2017-05-25 15:16:55,5.0189
2017-05-25 15:16:56,5.0189
2017-05-25 15:16:57,5.01885
2017-05-25 15:16:58,5.0191
2017-05-25 15:16:59,5.01915
2017-05-25 15:17:03,5.01925
2017-05-25 15:17:04,5.0192
2017-05-25 15:17:05,5.0196
2017-05-25 15:17:06,5.0196
2017-05-25 15:17:07,5.01955
2017-05-25 15:17:08,5.0195
2017-05-25 15:17:09,5.0194
2017-05-25 15:17:10,5.0193
2017-05-25 15:17:11,5.01925
2017-05-25 15:17:12,5.01925
2017-05-25 15:17:13,5.0192
2017-05-25 15:17:15,5.0193
2017-05-25 15:17:16,5.01915
2017-05-25 15:17:17,5.0193
2017-05-25 15:17:18,5.019
2017-05-25 15:17:19,5.01885
2017-05-25 15:17:20,5.0189
2017-05-25 15:17:21,5.0186
2017-05-25 15:17:22,5.01855
2017-05-25 15:17:23,5.0186
2017-05-25 15:17:24,5.0186
2017-05-25 15:17:25,5.01865
2017-05-25 15:17:26,5.0188
2017-05-25 15:17:27,5.0189
2017-05-25 15:17:29,5.01895
2017-05-25 15:17:30,5.0189
2017-05-25 15:17:33,5.019
2017-05-25 15:17:34,5.0192
2017-05-25 15:17:35,5.0192
2017-05-25 15:17:36,5.01925
2017-05-25 15:17:37,5.0192
2017-05-25 15:17:38,5.01915
2017-05-25 15:17:42,5.0192
2017-05-25 15:17:43,5.0191
2017-05-25 15:17:45,5.01915
2017-05-25 15:17:46,5.01945
2017-05-25 15:17:47,5.0194
2017-05-25 15:17:48,5.0192
2017-05-25 15:17:49,5.01915
2017-05-25 15:17:50,5.0191
2017-05-25 15:17:51,5.01915
2017-05-25 15:17:52,5.0192
2017-05-25 15:17:53,5.0191
2017-05-25 15:17:54,5.0191
2017-05-25 15:17:57,5.01915
2017-05-25 15:18:00,5.0191
2017-05-25 15:18:01,5.0189
2017-05-25 15:18:02,5.01885
2017-05-25 15:18:03,5.0189
2017-05-25 15:18:04,5.019
2017-05-25 15:18:05,5.01905
2017-05-25 15:18:06,5.0191
2017-05-25 15:18:07,5.01915
2017-05-25 15:18:08,5.0191
2017-05-25 15:18:09,5.0191
2017-05-25 15:18:11,5.0192
2017-05-25 15:18:12,5.0191
2017-05-25 15:18:15,5.01915
2017-05-25 15:18:16,5.0191
2017-05-25 15:18:17,5.0191
2017-05-25 15:18:19,5.01935
2017-05-25 15:18:20,5.0194
2017-05-25 15:18:21,5.0193
2017-05-25 15:18:22,5.01935
2017-05-25 15:18:23,5.0193
2017-05-25 15:18:24,5.019
2017-05-25 15:18:25,5.0191
2017-05-25 15:18:27,5.01915
2017-05-25 15:18:28,5.0194
2017-05-25 15:18:29,5.0195
2017-05-25 15:18:31,5.0194
2017-05-25 15:18:32,5.0195
2017-05-25 15:18:38,5.0195
2017-05-25 15:18:41,5.0194
2017-05-25 15:18:42,5.01945
2017-05-25 15:18:43,5.0194
2017-05-25 15:18:45,5.0194
2017-05-25 15:18:49,5.0193
2017-05-25 15:18:50,5.0193
2017-05-25 15:18:51,5.0196
2017-05-25 15:18:52,5.01965
2017-05-25 15:18:53,5.0196
2017-05-25 15:18:54,5.01945
2017-05-25 15:18:55,5.0197
2017-05-25 15:18:56,5.01965
2017-05-25 15:18:57,5.01955
2017-05-25 15:18:58,5.01955
2017-05-25 15:19:00,5.0196
2017-05-25 15:19:02,5.0197
2017-05-25 15:19:03,5.0198
2017-05-25 15:19:04,5.0199
2017-05-25 15:19:05,5.01985
2017-05-25 15:19:06,5.0201
2017-05-25 15:19:07,5.0202
